"","id","created_time","snippet","headline","news_desk","company_name"
"112",2,"2008-10-16T05:00:00+0000","","Coca-Cola beats profit forecast","IHT News","Coca-Cola"
"113",3,"2008-11-17T05:00:00+0000","","Hostile bidder targets Coca-Cola in Australia","IHT News","Coca-Cola"
"114",4,"2008-11-17T11:36:10+0000","","Lion Nathan Thirsty for Coca-Cola Amatil","Business","Coca-Cola"
"115",5,"2008-04-17T04:00:00+0000","As one of the most prominent sponsors of the Olympics, Coca-Cola found itself on the hot seat on Wednesday at its annual shareholder meeting.","Coca-Cola Faces Critics of Its Olympics Support","Business","Coca-Cola"
"116",6,"2008-02-22T20:48:59+0000","","Coca-Cola Says It Won’t Rely on Deals for Growth","Business","Coca-Cola"
"117",7,"2008-09-10T05:00:00+0000","","Coca-Cola's bid for Huiyuan may set a precedent","IHT News","Coca-Cola"
"118",8,"2008-04-16T05:00:00+0000","","Latin America and Russia lift Coca-Cola earnings","IHT News","Coca-Cola"
"119",9,"2008-04-17T05:00:00+0000","","Olympic protests put Coca-Cola in a quandary","IHT News","Coca-Cola"
"120",10,"2008-05-13T12:11:05+0000","","Coca-Cola Seeks Small Deals to Augment Growth","Business","Coca-Cola"
"121",1,"2008-01-16T05:00:00+0000","An environmental group says a Coca-Cola bottling plant in the drought-stricken state of Rajasthan is depleting scarce water supplies.","Coca-Cola Urged to Close an Indian Plant to Save Water","Business","Coca-Cola"
"122",2,"2008-01-05T05:00:00+0000","","Coca-Cola asked to shut Indian plant to save water","IHT News","Coca-Cola"
"123",3,"2008-04-16T05:00:00+0000","","Coca-Cola profit climbs 19% as sales soar overseas","IHT News","Coca-Cola"
"124",4,"2008-09-10T10:16:48+0000","","Coca-Cola to Seek Approval from China on Juice Deal","Business","Coca-Cola"
"125",5,"2008-09-29T10:41:38+0000","","Coca-Cola’s Chinese Deal Seen as Litmus Test for M&A","Business","Coca-Cola"
"126",6,"2008-02-06T11:33:12+0000","","Coca-Cola Brews $40 Million Deal for Stake in Honest Tea","Business","Coca-Cola"
"127",7,"2008-07-26T04:00:00+0000","Donald R. Keough, a former top executive at the Coca-Cola Company, has turned his speech about how to fail in business — using the example of his own failure with New Coke — into a book.","How to Fail in Business, a Guide to Success","Business","Coca-Cola"
"128",8,"2008-06-18T04:00:00+0000","Big brands have been borrowing for their marketing efforts characters from “Family Guy,” which has been criticized for everything from anti-Semitism and sexism to homophobia.","Crude? So What? These Characters Still Find Work in Ads","Business","Coca-Cola"
"129",9,"2008-10-17T05:00:00+0000","","Brewer bids for Australian Coke bottler","IHT News","Coca-Cola"
"130",10,"2008-07-17T05:00:00+0000","","Coke posts loss as consumers cut back","IHT News","Coca-Cola"
"131",1,"2008-11-03T05:00:00+0000","","Coke's quarterly profit beats forecasts","IHT News","Coca-Cola"
"132",2,"2008-04-16T19:37:34+0000","Looking at Coke in India.","Things Go Better With Coke?","","Coca-Cola"
"133",3,"2008-05-27T04:00:00+0000","Recent studies have linked a taste for energy drinks with risk taking in teenagers and young adults.","Taste for Quick Boost Tied to Taste for Risk","Science","Coca-Cola"
"134",4,"2008-05-26T05:00:00+0000","","Despite sanctions, U.S. consumer goods are prevalent in Sudan and Iran","IHT News","Coca-Cola"
"135",5,"2008-12-24T11:51:48+0000","","Cadbury, Asahi Brew Up Schweppes Deal","Business","Coca-Cola"
"136",6,"2008-08-04T19:01:05+0000","Despite the extreme blowback that tinkering with the Real Thing has earned the makers of Coca-Cola in the past, they’re not resting on their coca-leaf laurels. A <a href=""http://www.statesman.com/business/content/business/stories/other/07/30/0730c...","Just Browsing | New Coke(s)","None","Coca-Cola"
"137",7,"2008-03-29T04:00:00+0000","The disruption of a Chinese official’s address in Greece was just the beginning of a string of protests planned to coincide with the torch’s trip around the globe.","Corporate Sponsors Nervous as Tibet Protest Groups Shadow Olympic Torch’s Run","Business","Coca-Cola"
"138",8,"2008-09-06T02:45:50+0000","","Why Not ‘Stuck on You’ on the Soundtrack?","Media","Coca-Cola"
"139",9,"2008-05-03T04:00:00+0000","Thousands of mainland Chinese and Hong Kong residents cheered the Olympic torch on Friday during the largely peaceful first leg of its three-month trip through China.","Hong Kong Embraces Olympic Torch","Foreign","Coca-Cola"
"140",10,"2008-03-28T04:00:00+0000","A string of planned protests centered around the Olympic torch relay is troubling news for sponsors of the event, including Coca-Cola, Lenovo and Samsung Electronics.","Sponsors of Olympic Torch Caught in Tibet Protests","Business","Coca-Cola"
"141",1,"2008-08-04T19:01:05+0000","","Just Browsing | New Coke(s)","TStyle","Coca-Cola"
"142",2,"2008-06-17T18:44:50+0000","A commercial for Coca-Cola features Stewie, the infant character from Fox's animated sitcom, ""Family Guy.""","Family Guy's Stewie Dashes for Coke","","Coca-Cola"
"143",3,"2008-11-17T19:40:32+0000","One of the longest relationships in advertising is coming to an end as PepsiCo shifts the creative duties in the United States for Pepsi-Cola from BBDO Worldwide to TBWA/Chiat/Day.","Pepsi Shifts to a New Ad Agency","Business","Coca-Cola"
"144",4,"2008-09-03T10:41:38+0000","","Coke Bids for Chinese Juice Giant","Business","Coca-Cola"
"145",5,"2008-12-16T16:56:07+0000","The 30-day pilot program covers some subway windows on A train cars with red Coca-Cola signs. Transit officials say the ads deter scratched graffiti.","Ads on Subway Windows","None","Coca-Cola"
"146",6,"2008-12-15T15:20:50+0000","The governor of New York is reportedly proposing a special tax on high-calorie soft drinks.","Governor Paterson to Levy “Obesity Tax”","","Coca-Cola"
"147",7,"2008-07-16T04:00:00+0000","Less than a year before its 60th anniversary, the North Atlantic Treaty Organization is determined to revamp its image.","NATO Hires a Coke Executive to Retool Its Brand","Foreign","Coca-Cola"
"148",8,"2008-04-25T05:00:00+0000","","The appeal of quietly good design","IHT News","Coca-Cola"
"149",9,"2008-09-04T11:52:21+0000","","Vibes Is Said to Raise $15 Million","Business","Coca-Cola"
"150",10,"2008-08-25T14:52:28+0000","And the gold medals for Olympic advertising go to…","Olympics: The Advertising Gold Medals","Media","Coca-Cola"
"151",1,"2008-06-18T18:30:11+0000","The characters on “Family Guy” suddenly seem to be the darlings of Madison Avenue.","Advertising With The ‘Family Guy’","Media","Coca-Cola"
"152",2,"2008-07-16T14:19:20+0000","Two organizations seek the glow of Budweiser and Coca Cola.","Enlisting U.S. Brand Power in Belgium","","Coca-Cola"
"153",3,"2008-12-16T16:43:16+0000","The 30-day pilot program covers some subway windows on A train cars with red Coca-Cola signs. Transit officials say the ads deter scratched graffiti.","Subway Window Ads Alarm Some Riders","Metro","Coca-Cola"
"154",4,"2008-11-20T14:09:35+0000","","K.K.R. Hires European Communications Officer","Business","Coca-Cola"
"155",5,"2008-02-14T18:13:17+0000","","30 Seconds Cost a Lot, but the Memories May Be Priceless","Media","Coca-Cola"
"156",6,"2008-08-19T05:00:00+0000","","Sponsors feel Liu Xiang's pain","IHT News","Coca-Cola"
"157",7,"2008-01-11T04:29:52+0000","","Have $2.7 Million? Buy The Last Super Bowl Ad","Media","Coca-Cola"
"158",8,"2008-07-30T04:00:00+0000","The Federal Trade Commission issued a report detailing the pervasiveness of food marketing to children, and a coalition of food companies responded with its own report arguing they had made progress on the issue.","Tug of War in Food Marketing to Children","Business","Coca-Cola"
"159",9,"2008-08-18T18:03:27+0000","When China’s star hurdler, Liu Xiang, limped off the field late Monday morning, it dealt a blow to the marketing plans of some marquee brands.","Olympic Star Is Sidelined. Will His Ads Be, as Well?","Business","Coca-Cola"
"160",10,"2008-06-17T04:00:00+0000","The City Council has banned bottled water from its offices and events, and the city has started a pilot program with water coolers that use filtered tap water.","City Council Shuns Bottles in Favor of Water From Tap","Metro","Coca-Cola"
"161",1,"2008-02-13T12:16:36+0000","","Alpha Mom Sells Stake to Fahrenheit 212","Business","Coca-Cola"
"162",2,"2008-05-14T05:00:00+0000","","Olympic organizers say they will ""simplify"" torch relay in aftermath of earthquake","IHT News","Coca-Cola"
"163",3,"2008-03-20T05:00:00+0000","","Advertising boycott of Olympics unlikely","IHT News","Coca-Cola"
"164",4,"2008-06-18T05:00:00+0000","","Crude? So what? These characters still find work in ads","IHT News","Coca-Cola"
"165",5,"2008-03-28T05:00:00+0000","","Sponsors of Olympic torch caught in Tibet protests","IHT News","Coca-Cola"
"166",6,"2008-04-25T04:00:00+0000","After taking criticism from activist groups over the last few months, some Olympic sponsors are starting to criticize right back.","Companies Return Criticism From Darfur Group","Business","Coca-Cola"
"167",7,"2008-05-02T05:00:00+0000","","Hong Kong greets Olympic torch with cheers and controlled protest","IHT News","Coca-Cola"
"168",8,"2008-10-12T23:37:03+0000","Economic events for the week of Oct. 13, 2008.","Looking Ahead","Business","Coca-Cola"
"169",9,"2008-09-11T16:45:26+0000","On the campaign trail in Virginia, Senator Obama ran across Don Garlits, the drag racing pioneer.","Obama and the Big Daddy","","Coca-Cola"
"170",10,"2008-04-25T05:00:00+0000","","Olympic sponsors are starting to fire back at activists","IHT News","Coca-Cola"
"171",1,"2008-09-09T18:05:49+0000","","Out of a Job? Yes, Siam.","","Coca-Cola"
"172",2,"2008-06-18T00:00:44+0000","","Win Games, Eat Ice Cream","","Coca-Cola"
"173",3,"2008-10-06T05:00:00+0000","","Another suitor for Foster's?","IHT News","Coca-Cola"
"174",4,"2008-07-22T05:00:00+0000","","Oil falls, lending support to U.S. equities","IHT News","Coca-Cola"
"175",5,"2008-07-09T11:48:54+0000","","Sun Valley Diary: A Peek at the Agenda","","Coca-Cola"
