"","id","created_time","snippet","headline","news_desk","company_name"
"3006",6,"2017-09-26T23:15:01+0000","Experts on Africa in the Trump administration said they were mystified by the ban on travel from Chad, an American counterterrorism partner in Africa.","Chad’s Inclusion in Travel Ban Could Jeopardize American Interests, Officials Say","Washington","American Express"
"3007",7,"2017-09-27T18:07:54+0000","Mr. Moore, who won a primary runoff for an Alabama Senate seat, is known for inflammatory statements, like calling homosexuality “an inherent evil.”","Roy Moore, in His Own Words","Express","American Express"
"3008",8,"2017-10-07T09:02:22+0000","U.S. officials appear powerless to secure their release, and the dozen detainees may be bargaining chips in Turkey’s attempts to have Fethullah Gulen extradited.","Americans Jailed After Failed Coup in Turkey Are Hostages to Politics","Foreign","American Express"
"3009",9,"2017-01-05T20:32:01+0000","The son, Hamza bin Laden, who has vowed to avenge his father’s death, is “actively engaged in terrorism,” the State Department said.","U.S. Lists Bin Laden’s Son as a ‘Global Terrorist’","Foreign","American Express"
"3010",10,"2017-01-10T12:10:18+0000","Americans have been duped by a showman. But to unseat him, liberals must reckon with how they lost sight of their country.","Streep vs. Trump for America","OpEd","American Express"
"3011",1,"2017-03-07T10:00:41+0000","A look at three popular rewards programs — Chase Ultimate Rewards, American Express Membership Rewards and Citi ThankYou Rewards — and best bets for each.","How to Make the Most of Your Credit Card Points","Travel","American Express"
"3012",2,"2017-05-22T18:15:01+0000","After a fracas between Turkish bodyguards and protesters in Washington last week, tit-for-tat diplomatic complaints were made about who had mistreated whom.","Turkey Chides U.S. Envoy Over Handling of Brawl at Washington Protest","Foreign","American Express"
"3013",3,"2017-05-31T07:21:15+0000","America now has a monarchy in the White House, headed by an emir named Donald.","Trump’s United American Emirate","OpEd","American Express"
"3014",4,"2017-09-01T20:12:29+0000","President Recep Tayyip Erdogan denounced the charges after three more bodyguards were indicted by a federal grand jury over a brawl in Washington.","Turkey’s President Calls U.S. Indictments of His Guards a ‘Scandal’","Foreign","American Express"
"3015",5,"2017-07-13T16:23:04+0000","With the U.S. economy growing, the subject of monetary policy was mostly ignored during the Senate Banking Committee’s meeting Thursday with Janet L. Yellen, chairwoman of the Federal Reserve.","Yellen Treads Carefully on Regulatory Issues in Senate Panel Appearance","Business","American Express"
"3016",6,"2017-06-14T13:21:25+0000","After 40 years of visiting the United States, I finally feel like I’m in a foreign land.","I Thought I Understood America. Then Came Trump.","OpEd","American Express"
"3017",7,"2017-02-06T10:01:35+0000","At their best, lounges are destinations unto themselves. Here is a primer.","The Airport Lounge Scene: What You Get and How to Get In","Travel","American Express"
"3018",8,"2017-02-07T12:15:28+0000","Mr. Trump’s behavior has proved “what we have been saying for more than 30 years,” Ayatollah Ali Khamenei said.","Iran’s Supreme Leader Thanks Trump for Showing America’s ‘True Face’","Foreign","American Express"
"3019",9,"2017-05-26T13:12:56+0000","Leaks from the investigation into the Manchester bombing risk eroding the trust on which intelligence cooperation depends.","Why Britain Gets Angry When America Is Casual With Secrets","OpEd","American Express"
"3020",10,"2017-02-27T17:14:09+0000","As they lobby to bring the Summer Games to Los Angeles, the nation’s Olympics officials have pressured Congress not to hold a hearing on the Russian doping scandal.","Clashing Agendas: Antidoping Officials vs. U.S. Olympics Leaders","Sports","American Express"
"3021",1,"2017-12-07T00:17:10+0000","While some Jewish leaders welcomed recognition of Jerusalem as Israel’s capital, many worried that the step would inflame tensions and make peace in the Middle East even harder to achieve.","Praise and Alarm From American Jews Over Trump’s Jerusalem Move","National","American Express"
"3022",2,"2017-09-25T18:45:38+0000","They’ve come a long way from the days of sticky floors and uncomfortable seats. Many offer extensive food offerings and the technology used for 3-D films.","Alternate Site for Conferences: Movie Theaters","Business","American Express"
"3023",3,"2017-11-01T09:26:59+0000","In fact, on economic policy, America is a center-left nation.","America Is Not a ‘Center-Right Nation’","OpEd","American Express"
"3024",4,"2017-07-17T23:50:51+0000","The conviction and 10-year sentence imposed on Xiyue Wang, who had been researching 19th-century history, could chill scholarly exchanges with Iran.","Colleagues of Princeton University Scholar Convicted of Spying in Iran Express Shock","Foreign","American Express"
