"","id","created_time","snippet","headline","news_desk","company_name"
"2175",5,"2014-07-27T04:15:07+0000","The bride is a manager at PricewaterhouseCoopers; the groom is a vice president at Goldman Sachs.","Kailee McDonald, George Balagia Jr.","Society","McDonald's"
"2176",6,"2014-10-21T15:19:01+0000","A supplier scandal in China and weak sales in the U.S. slammed quarterly profit. McDonald's doesn't see a quick turnaround. Fred Katayama reports.","McDonald's profit plunges 30 pct.","","McDonald's"
"2177",7,"2014-12-08T21:11:47+0000","McDonald's reported a steeper-than-expected fall in global same-restaurant sales in November- and warned of troubles in the current quarter. Bobbi Rebell reports.","McDonald's fails consumer taste test","","McDonald's"
"2178",8,"2014-01-22T18:54:53+0000","McDonald's France has confirmed tax inspectors visited its local headquarters but has denied wrongdoing after French media reported it had transferred over 2.2 billion euros ($3 billion) abroad since 2009 to dodge taxes. Melanie Ralph reports","McDonald's denies French tax allegations","","McDonald's"
"2179",9,"2014-08-20T19:58:53+0000","Russia's food safety watchdog temporarily shuts down four McDonald's in Moscow over sanitary violations. The closures come amid worsening U.S.-Russian ties over Ukraine. Linda So reports.","Russia closes four McDonald's in Moscow","","McDonald's"
"2180",10,"2014-08-21T13:38:53+0000","Russia has ramped up its scrutiny of McDonald's restaurants a day after four branches in Moscow were shuttered.  As Sonia Legg reports some see the move as politcally motivated by sanctions over Ukraine.","What's behind Russia's McDonald's probe?","","McDonald's"
"2181",1,"2014-04-22T15:54:27+0000","Profits fell at McDonalds, and sales in the U.S. were down even more than forecasts. The fast food giant blamed the harsh winter weather, but also admitted to some missteps. Bobbi Rebell reports.","Fewer customers and lower profits at McDonald's","","McDonald's"
"2182",2,"2014-04-27T01:33:57+0000","Mr. McDonald helped navigate organized labor’s orderly retreat from its peak of power in the industry in New York and, by some accounts, helped preserve the city’s surviving tabloids.","George McDonald, 90, Dies; Union Leader Helped Save Newspaper Jobs","Metro","McDonald's"
"2183",3,"2014-07-29T21:17:02+0000","The head of McDonald's in Japan apologizes to customers for sourcing chicken products from a Chinese supplier at the center of a food safety scare. Jillian Kitchener reports.","McDonald's Japan apologizes for China meat scandal","","McDonald's"
"2184",4,"2014-05-15T20:57:27+0000","The actress Audra McDonald and the actor Will Swenson have a Westchester retreat.","What I Love | Audra McDonald and Will Swenson",NA,"McDonald's"
"2185",5,"2014-07-29T18:17:01+0000","The head of McDonald's in Japan apologizes to customers for sourcing chicken products from a Chinese supplier at the center of a food safety scare. Jillian Kitchener reports.","McDonald's Japan apologizes for China meat scandal","","McDonald's"
"2186",6,"2014-05-22T21:59:35+0000","Despite protests, McDonald's shareholders voted overwhelmingly in favor of approving executive pay at the fast food chain- where CEO Don Thompson took home $9.5 million in total compensation last year.  Bobbi Rebell reports.","McDonald's Shareholders vote ok on CEO pay","","McDonald's"
"2187",7,"2014-03-13T16:12:00+0000","The employees charge that the fast-food giant’s practices and requirements reduced their pay below the federal minimum wage of $7.25 an hour.","McDonald’s Workers File Wage Suits in 3 States","Business","McDonald's"
"2188",8,"2014-01-15T01:48:31+0000","The restaurant in Flushing says a group of elderly patrons drive away business by sitting for hours, while the group says they are entitled to take their time.","Fighting a McDonald’s in Queens for the Right to Sit. And Sit. And Sit.","Metro","McDonald's"
"2189",9,"2014-06-09T20:19:24+0000","The day's top showbiz news and headlines including Audra McDonald makes Broadway history, Sandra Bullock's home is broken into, and actor Rik Mayall is dead at 56. Bob Mezan reports.","McDonald makes Broadway history, Bullock reports home break-in","","McDonald's"
"2190",10,"2014-11-05T01:23:54+0000","Readers respond to a Business Day article, “Serving Up Fries, for a Living Wage.”","A Living Wage in Denmark, and in America","Letters","McDonald's"
"2191",1,"2014-07-04T18:55:13+0000","Restaurants like Shake Shack and Boloco that offer their employees above-average pay say they have lower turnover and better customer service.","Paying Employees to Stay, Not to Go","Business","McDonald's"
"2192",2,"2014-04-22T19:32:54+0000","McDonald’s gave one economist’s daughter a “girl toy” too many.","Do You Want a Girl Toy or a Boy Toy? McDonald’s Says Workers Won’t Ask","Styles","McDonald's"
